order_numer,number_of_orders_past_3_months,gross_sum_orders_past_3_months,numer_of_orders_future_3_months,gross_sum_orders_future_3_months
AD094679794,1,65.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094680725,1,197.01,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094699971,1,140.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
ADS14642083,1,16.94,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094720157,1,85.42,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094720321,1,201.22,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094720707,1,39.99,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
620200000000040000000000000001660012042021,1,61.61,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094730611,1,235.4,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094734963,1,140.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
RB015885683,1,74.2,1,74.2
656700000000010000000000000003493412042021,1,102.29,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
629600000000030000000000000002011512042021,1,67.25,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
627300000000030000000000000001250712042021,2,21.95,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
627300000000040000000000000002463513042021,2,21.95,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094754943,1,180.2,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094768894,1,107.53,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094772452,1,101.41,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094798072,1,74.89,1,74.89
RB015907129,1,58.83,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094814363,1,25.68,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
613000000000020000000000000012837313042021,1,29.68,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
616200000000030000000000000004541913042021,2,-21.8,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
616200000000030000000000000004542113042021,2,-21.8,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
625700000000030000000000000015237313042021,1,238.21,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094839952,1,68.99,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094846802,1,177.25,3,292.54
AD094853074,1,42.2,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094857083,1,42.49,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
